tstep,mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
31,1,8,12,1.63716211E+26,1.43040128E+26,1.47345666E+26,1.43010181E+26,1.66669468E+26,1.26244317E+26,1.51904870E+26,1.30699851E+26,1.53946250E+26,1.61420439E+26,1.23766358E+26,1.33067384E+26,1.57833897E+26,1.61138882E+26,1.73992976E+26,1.40323172E+26,1.72152913E+26,1.47352378E+26,1.62993975E+26,1.61234455E+26,1.50014142E+26,1.44032055E+26,1.38250683E+26,1.61470164E+26,1.75141642E+26,1.79400489E+26,1.58535545E+26,1.35966741E+26,1.56505115E+26,1.58444069E+26,1.55764558E+26,1.64578727E+26
32,1,8,18,1.63864437E+26,1.43930789E+26,1.47071048E+26,1.42779814E+26,1.66801170E+26,1.25198624E+26,1.52838006E+26,1.31510874E+26,1.53496298E+26,1.61619731E+26,1.22784303E+26,1.32202704E+26,1.56987469E+26,1.61559482E+26,1.73020994E+26,1.39670492E+26,1.71243405E+26,1.47031311E+26,1.63042931E+26,1.60375008E+26,1.49409779E+26,1.43301709E+26,1.38396577E+26,1.60474491E+26,1.75737384E+26,1.79250167E+26,1.59963723E+26,1.35460149E+26,1.57275582E+26,1.57170921E+26,1.56273157E+26,1.64403925E+26
33,1,9,0,1.64002738E+26,1.44617114E+26,1.47421980E+26,1.42271708E+26,1.67096097E+26,1.23987170E+26,1.52499013E+26,1.32554151E+26,1.53100971E+26,1.61936330E+26,1.22018246E+26,1.32517281E+26,1.57480089E+26,1.61815853E+26,1.71278986E+26,1.39804202E+26,1.70176987E+26,1.47448068E+26,1.61769132E+26,1.60077426E+26,1.49353654E+26,1.43258676E+26,1.38369461E+26,1.59786436E+26,1.75898642E+26,1.78745845E+26,1.60690234E+26,1.35384490E+26,1.58174673E+26,1.56615491E+26,1.56477568E+26,1.64029899E+26
34,1,9,6,1.64130575E+26,1.44910693E+26,1.46962299E+26,1.41475894E+26,1.65939527E+26,1.22469099E+26,1.52279227E+26,1.32423685E+26,1.52021903E+26,1.61959219E+26,1.21040925E+26,1.31509258E+26,1.56573957E+26,1.62153397E+26,1.69405928E+26,1.38245847E+26,1.68409296E+26,1.46776650E+26,1.61340486E+26,1.59055496E+26,1.48385747E+26,1.42660329E+26,1.38175821E+26,1.58532868E+26,1.75890117E+26,1.78045365E+26,1.61596195E+26,1.34421491E+26,1.57820013E+26,1.55466955E+26,1.55736959E+26,1.63919285E+26
35,1,9,12,1.64929201E+26,1.46533057E+26,1.48351506E+26,1.42329534E+26,1.67003129E+26,1.22346040E+26,1.52102223E+26,1.33003029E+26,1.51991653E+26,1.62275097E+26,1.21021307E+26,1.31921947E+26,1.58168962E+26,1.62775208E+26,1.68842937E+26,1.39342816E+26,1.68246175E+26,1.47737928E+26,1.60637685E+26,1.59171475E+26,1.49397859E+26,1.43119117E+26,1.38861715E+26,1.58392032E+26,1.76297319E+26,1.78637151E+26,1.63780473E+26,1.35096671E+26,1.59343992E+26,1.55847606E+26,1.56836337E+26,1.64528901E+26
36,1,9,18,1.65113930E+26,1.46569204E+26,1.48677549E+26,1.42438712E+26,1.67252699E+26,1.21263843E+26,1.52032756E+26,1.33514855E+26,1.51252130E+26,1.62212016E+26,1.20605893E+26,1.30820659E+26,1.57977055E+26,1.62869538E+26,1.68107610E+26,1.38517569E+26,1.67035351E+26,1.47463876E+26,1.60540004E+26,1.58914693E+26,1.49344666E+26,1.42135558E+26,1.38528305E+26,1.58058437E+26,1.76877949E+26,1.78593750E+26,1.64814123E+26,1.34230742E+26,1.60126298E+26,1.54834315E+26,1.56973081E+26,1.64313093E+26
37,1,10,0,1.64537816E+26,1.47494108E+26,1.49560499E+26,1.42582128E+26,1.67949954E+26,1.20054883E+26,1.50769105E+26,1.34424371E+26,1.50337622E+26,1.61879853E+26,1.20735999E+26,1.30871178E+26,1.58883262E+26,1.62622797E+26,1.66872833E+26,1.38407319E+26,1.65873207E+26,1.46951784E+26,1.59453903E+26,1.57917059E+26,1.48933421E+26,1.42056025E+26,1.37416784E+26,1.57092698E+26,1.76712972E+26,1.78397514E+26,1.65970725E+26,1.34063400E+26,1.60464083E+26,1.53857540E+26,1.57188642E+26,1.64363750E+26
38,1,10,6,1.64791364E+26,1.47461860E+26,1.49941273E+26,1.41780762E+26,1.67368848E+26,1.18572049E+26,1.50497680E+26,1.34021833E+26,1.49064341E+26,1.61442008E+26,1.20103744E+26,1.30172112E+26,1.58097132E+26,1.62423963E+26,1.65913646E+26,1.36993370E+26,1.64692828E+26,1.45637349E+26,1.58526257E+26,1.57224126E+26,1.48576015E+26,1.41362959E+26,1.36534745E+26,1.55929225E+26,1.76602873E+26,1.78256942E+26,1.66853044E+26,1.32973547E+26,1.60425903E+26,1.52769310E+26,1.56162216E+26,1.63504236E+26
39,1,10,12,1.65547678E+26,1.48819948E+26,1.51654803E+26,1.42649653E+26,1.69137326E+26,1.19208855E+26,1.50599971E+26,1.34781916E+26,1.49265174E+26,1.61640961E+26,1.21516925E+26,1.30611562E+26,1.59461590E+26,1.63420859E+26,1.64894937E+26,1.38164901E+26,1.64672194E+26,1.46116704E+26,1.57925725E+26,1.58187639E+26,1.49020541E+26,1.41379522E+26,1.36009574E+26,1.56031403E+26,1.77246216E+26,1.78981580E+26,1.68481434E+26,1.33293983E+26,1.61510807E+26,1.52858614E+26,1.56763953E+26,1.64021558E+26
40,1,10,18,1.66135192E+26,1.48414660E+26,1.53285155E+26,1.41917126E+26,1.69138194E+26,1.19047178E+26,1.50219161E+26,1.35084822E+26,1.48882105E+26,1.61770115E+26,1.20574138E+26,1.29985713E+26,1.58837456E+26,1.64197534E+26,1.64322151E+26,1.37266079E+26,1.63787334E+26,1.44880216E+26,1.57131975E+26,1.57914824E+26,1.48825350E+26,1.41125963E+26,1.35322818E+26,1.55715877E+26,1.77461010E+26,1.79777918E+26,1.69456081E+26,1.32964704E+26,1.61729218E+26,1.51785479E+26,1.56512813E+26,1.63846217E+26
