mn,dy,hr,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,14,0,0.798975774,-0.519490265,0.352399368,-0.85113616,1.693529617,-2.745318002,0.074778206,-0.617048204,-0.255516809,0.341235748,-1.622592947,-0.81578149,0.410697498,0.760080534,0.520966529,-0.625949028,0.472630692,-0.777291839,0.108563263,0.788450225,-0.682051708,-0.547713166,-1.346941523,-0.440164274,1.596494043,2.04178141,1.304390543,-0.790303941,0.99016806,-0.281734611,0.285584392,0.378308066
1,14,6,0.811575739,-0.498750205,0.330828712,-0.936060397,1.720632559,-2.754250735,0.129743131,-0.628680703,-0.3228455,0.34892655,-1.608445475,-0.789957743,0.355178745,0.721561675,0.565157422,-0.621031342,0.450782714,-0.795471895,0.141220575,0.813456767,-0.682450623,-0.466884449,-1.340317449,-0.470060992,1.590624032,2.05172018,1.2802568,-0.724704622,0.998824351,-0.255726821,0.257286951,0.32786205
1,14,12,0.790160033,-0.446678997,0.34572805,-0.881324187,1.770746591,-2.757731552,0.059254605,-0.636198817,-0.384904742,0.369039428,-1.564852739,-0.753833006,0.366059663,0.715718671,0.606429091,-0.631545999,0.472385461,-0.799894945,0.174259478,0.817751187,-0.730534555,-0.476769304,-1.359877332,-0.513593251,1.558938612,2.015331957,1.309930377,-0.714060196,1.026706021,-0.268039232,0.23724902,0.284150609
1,14,18,0.840708688,-0.438741639,0.355314977,-0.921993955,1.875411831,-2.728044663,0.0958501,-0.692555095,-0.402127376,0.355966881,-1.602868819,-0.751939897,0.332905662,0.691147786,0.623739666,-0.636080089,0.511968565,-0.822446695,0.163393283,0.815587145,-0.703232034,-0.463054593,-1.330455808,-0.488263037,1.539050907,1.961397514,1.269897396,-0.688189372,1.02826579,-0.244261567,0.202109606,0.251538841
1,15,0,0.82677166,-0.446284258,0.362208274,-0.892008946,1.931177085,-2.743219985,0.038762971,-0.663052781,-0.456316239,0.403846463,-1.583086806,-0.701039996,0.335772002,0.659461928,0.666080796,-0.671211709,0.542599267,-0.840861136,0.153149763,0.812453104,-0.689503212,-0.443227887,-1.309659914,-0.523659401,1.507298579,1.936388366,1.233711369,-0.697323266,1.065901059,-0.25979857,0.171574141,0.273097277
1,15,6,0.87003704,-0.421502346,0.386402366,-0.935407266,2.010793369,-2.712890527,0.072914323,-0.709479493,-0.456541909,0.408272444,-1.552775432,-0.674880619,0.265896991,0.628817008,0.728721634,-0.702607498,0.554598531,-0.871922004,0.134793248,0.792721539,-0.750099734,-0.408189098,-1.252744585,-0.484159959,1.459397105,1.924177113,1.209433794,-0.758393214,1.072024038,-0.219403215,0.146025225,0.245971135
1,15,12,0.874672768,-0.421602356,0.377037601,-0.943988904,2.091375417,-2.715476713,-0.004596044,-0.701521602,-0.403332503,0.441883908,-1.536133298,-0.638059752,0.273317464,0.603776146,0.764917139,-0.744334201,0.552489019,-0.847621373,0.150943447,0.786136767,-0.747354403,-0.4430037,-1.247898797,-0.494209512,1.426001752,1.843872773,1.207702571,-0.787476848,1.086142331,-0.241000546,0.132809259,0.30453219
1,15,18,0.851477971,-0.466133899,0.430523033,-0.995601564,2.215279158,-2.65780438,-0.010722976,-0.744946856,-0.382756023,0.438943645,-1.496641895,-0.594668408,0.220353147,0.587969552,0.755444943,-0.835549195,0.543673796,-0.852283032,0.191648281,0.790268634,-0.761695015,-0.446908575,-1.152258737,-0.473649623,1.371695967,1.822028685,1.187317708,-0.839685801,1.122517621,-0.241035564,0.111994987,0.311204416
1,16,0,0.803279085,-0.481380755,0.438662788,-1.027954018,2.278078955,-2.685907762,-0.070249271,-0.740745912,-0.313661192,0.480125384,-1.422576474,-0.55241803,0.195241218,0.610040468,0.797536862,-0.826258694,0.51142822,-0.859965601,0.164320512,0.731305234,-0.733130074,-0.443112407,-1.142708052,-0.498778885,1.331583653,1.767177182,1.187663038,-0.897362404,1.165427661,-0.238495555,0.095585753,0.377249074
1,16,6,0.835135131,-0.516790635,0.453807025,-1.103192562,2.357398203,-2.636539294,-0.088865745,-0.7932707,-0.279662903,0.477172325,-1.346172605,-0.516441087,0.151957327,0.600719742,0.80822883,-0.863191689,0.458569449,-0.868273471,0.185325786,0.720472688,-0.775220594,-0.417211677,-1.099694899,-0.506605074,1.272278734,1.729027715,1.205349492,-0.923807723,1.174485411,-0.21307894,0.075460272,0.44263147
